=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
PLUS_OPERATOR            	+              	82	12
IDENTIFIER               	w              	82	14
UNKNOWN                  	]              	82	15
ASSIGN                   	=              	82	17
INT_LITERAL              	10             	82	19
MINUS_OPERATOR           	-              	82	22
IDENTIFIER               	arr            	82	24
UNKNOWN                  	[              	82	27
INT_LITERAL              	67             	82	28
PLUS_OPERATOR            	+              	82	31
IDENTIFIER               	w              	82	33
UNKNOWN                  	]              	82	34
MULT_OPERATOR            	*              	82	36
IDENTIFIER               	func1          	82	38
LEFT_PAREN               	є              	82	43
IDENTIFIER               	miChar         	82	45
COMMA                    	,              	82	51
CHAR_LITERAL             	'a'            	82	53
RIGHT_PAREN              	э              	82	57
DELIMITER                	$              	82	58
IDENTIFIER               	fl1            	83	5
ASSIGN                   	=              	83	9
FLOAT_LITERAL            	4.5            	83	11
DIV_OPERATOR             	/              	83	15
IDENTIFIER               	f              	83	17
DELIMITER                	$              	83	18
LET                      	let            	84	5
INT                      	int            	84	9
IDENTIFIER               	a              	84	13
ASSIGN                   	=              	84	15
IDENTIFIER               	funcPrueba     	84	17
LEFT_PAREN               	є              	84	28
RIGHT_PAREN              	э              	84	30
DELIMITER                	$              	84	31
LET                      	let            	85	5
BOOL                     	bool           	85	9
IDENTIFIER               	bl0            	85	14
ASSIGN                   	=              	85	18
FLOAT_LITERAL            	6.7            	85	20
NOT_EQUAL                	!=             	85	24
FLOAT_LITERAL            	8.9            	85	27
DELIMITER                	$              	85	30
IDENTIFIER               	bl0            	86	5
ASSIGN                   	=              	86	9
BOOL_LITERAL             	True           	86	11
NOT_EQUAL                	!=             	86	16
BOOL_LITERAL             	False          	86	19
DELIMITER                	$              	86	24
LET                      	let            	87	5
BOOL                     	bool           	87	9
IDENTIFIER               	bl1            	87	14
ASSIGN                   	=              	87	18
IDENTIFIER               	f              	87	20
GREATER_EQUAL            	>=             	87	22
IDENTIFIER               	fl1            	87	25
OR                       	~              	87	29
BOOL_LITERAL             	False          	87	31
DELIMITER                	$              	87	36
LOOP                     	loop           	89	5
LET                      	let            	90	9
INT                      	int            	90	13
IDENTIFIER               	_loop_i_       	90	17
DELIMITER                	$              	90	25
FOR                      	for            	91	9
IDENTIFIER               	_loop_i_       	91	13
ASSIGN                   	=              	91	22
INT_LITERAL              	0              	91	24
DELIMITER                	$              	91	25
STEP                     	step           	91	27
INT_LITERAL              	1              	91	32
TO                       	to             	91	34
INT_LITERAL              	10             	91	37
DO                       	do             	91	40
LEFT_BLOCK               	¿              	91	43
OUTPUT                   	output         	92	13
IDENTIFIER               	_loop_i_       	92	20
DELIMITER                	$              	92	28
RIGHT_BLOCK              	?              	93	9
EXIT                     	exit           	94	5
WHEN                     	when           	94	10
LEFT_PAREN               	є              	94	15
IDENTIFIER               	f              	94	17
GREATER                  	>              	94	19
FLOAT_LITERAL            	12.2           	94	21
AND                      	@              	94	26
NOT                      	Σ              	94	28
LEFT_PAREN               	є              	94	30
INT_LITERAL              	12             	94	32
GREATER                  	>              	94	35
LEFT_PAREN               	є              	94	37
INT_LITERAL              	34             	94	39
PLUS_OPERATOR            	+              	94	42
INT_LITERAL              	35             	94	44
RIGHT_PAREN              	э              	94	47
RIGHT_PAREN              	э              	94	49
RIGHT_PAREN              	э              	94	51
DELIMITER                	$              	94	52
UNKNOWN                  	end            	95	5
LOOP                     	loop           	95	9
DELIMITER                	$              	95	13
RIGHT_BLOCK              	?              	96	1
----------------------------------------------------------
=== FIN DEL ANÁLISIS ===
✓ Sin errores léxicos
