=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
FLOAT                    	float          	68	6
IDENTIFIER               	fl2            	68	12
ASSIGN                   	=              	68	15
FLOAT_LITERAL            	3.7            	68	16
POWER_OPERATOR           	^              	68	20
IDENTIFIER               	fl1            	68	22
INCREMENT                	++             	68	25
PLUS_OPERATOR            	+              	68	27
LEFT_PAREN               	є              	68	29
FLOAT_LITERAL            	45.6           	68	31
MOD_OPERATOR             	%              	68	36
FLOAT_LITERAL            	7.6            	68	38
RIGHT_PAREN              	э              	68	42
DELIMITER                	$              	68	44
LET                      	let            	71	9
INT                      	int            	71	13
IDENTIFIER               	arr            	71	17
UNKNOWN                  	[              	71	21
INT_LITERAL              	1000           	71	22
UNKNOWN                  	]              	71	26
ASSIGN                   	=              	71	28
LEFT_BLOCK               	¿              	71	30
INT_LITERAL              	4              	71	31
COMMA                    	,              	71	32
INT_LITERAL              	5              	71	33
RIGHT_BLOCK              	?              	71	34
DELIMITER                	$              	71	35
IDENTIFIER               	arr            	72	2
UNKNOWN                  	[              	72	5
INT_LITERAL              	67             	72	6
PLUS_OPERATOR            	+              	72	8
IDENTIFIER               	w              	72	9
UNKNOWN                  	]              	72	10
ASSIGN                   	=              	72	12
INT_LITERAL              	10             	72	14
MINUS_OPERATOR           	-              	72	17
IDENTIFIER               	arr            	72	19
UNKNOWN                  	[              	72	22
INT_LITERAL              	67             	72	23
PLUS_OPERATOR            	+              	72	25
IDENTIFIER               	w              	72	26
UNKNOWN                  	]              	72	27
MULT_OPERATOR            	*              	72	30
IDENTIFIER               	func1          	72	32
LEFT_PAREN               	є              	72	39
IDENTIFIER               	miChar         	72	42
COMMA                    	,              	72	48
CHAR_LITERAL             	'a'            	72	49
RIGHT_PAREN              	э              	72	53
DELIMITER                	$              	72	55
IDENTIFIER               	fl1            	73	2
ASSIGN                   	=              	73	6
FLOAT_LITERAL            	4.5            	73	8
MOD_OPERATOR             	%              	73	11
IDENTIFIER               	f              	73	12
POWER_OPERATOR           	^              	73	13
FLOAT_LITERAL            	-0.005         	73	14
DELIMITER                	$              	73	20
LET                      	let            	74	2
BOOL                     	bool           	74	6
IDENTIFIER               	a              	74	11
ASSIGN                   	=              	74	13
IDENTIFIER               	funcPrueba     	74	15
LEFT_PAREN               	є              	74	26
RIGHT_PAREN              	э              	74	29
DELIMITER                	$              	74	31
LET                      	let            	75	2
BOOL                     	bool           	75	6
IDENTIFIER               	bl0            	75	11
ASSIGN                   	=              	75	15
FLOAT_LITERAL            	6.7            	75	17
NOT_EQUAL                	!=             	75	21
FLOAT_LITERAL            	8.9            	75	24
